student_id,nom_complet,age,sexe,serie,notes_detaillees,moyenne_generale,matieres_fortes,matieres_faibles,centres_interet,competences,preferences_env,objectif_professionnel,filieres_compatibles,filiere_recommandee,parcours_recommande,score_compatibilite,niveau_confiance,justification
STD_2026_0011,Tiana Randriamampianina,16,F,A2,Philosophie:15.81; Français:13.54; Malagasy:14.07; Histoire-Géographie:12.24; Anglais:7.0; LV2:13.93; Mathématiques:6.71; SVT / Sciences humaines:4.03; EPS:11.37,11.87,Philosophie; Malagasy,Mathématiques; SVT / Sciences humaines,Jeux de Stratégie; Robotique,Communication interculturelle; Yield Management; Résolution de problèmes,Entreprise industrielle,Responsable d'Agence de Voyage,TEH; TEE; EMP,TEH,Techniques du Tourisme,73.05,Moyen,"Excellente adéquation avec la série A2 et bonnes notes en Philosophie, Malagasy. Profil aligné avec l'objectif de Responsable d'Agence de Voyage."
STD_2026_0012,Nary Rajaonarivelo,21,F,L,Philosophie:11.86; Français et Littérature:15.09; Anglais:12.14; LV2:17.26; Malagasy:15.13; Histoire-Géographie:8.91; Éducation civique:12.01; Mathématiques:9.92; Arts / options culturelles:10.98; EPS:11.16,12.89,LV2; Malagasy,Mathématiques; Histoire-Géographie,Lecture & Écriture; Nature & Écologie,Techniques de Vente; Marketing Digital; Résolution de problèmes,Entreprise industrielle,Chef de Produit Marketing,CAA; AEE; FIC,CAA,Techniques des Affaires,74.32,Moyen,"Excellente adéquation avec la série L et bonnes notes en LV2, Malagasy. Profil aligné avec l'objectif de Chef de Produit Marketing."
STD_2026_0013,Vero Rajaonarivelo,20,F,C,"Mathématiques:20.0; Sciences Physiques, Chimiques et Technologie (SPCT):16.8; Français:12.09; Philosophie:13.1; Malagasy:9.25; Histoire-Géographie:12.68; Anglais:7.98; SVT:18.35; EPS:11.24",15.19,Mathématiques; SVT,Malagasy; Anglais,Volontariat; Sport d'équipe,Conseil d'entreprise; Analyse fiscale; Résolution de problèmes,Sur le terrain / Chantier,Gestionnaire de Contrats,DTJA; FIC; PIP,DTJA,Techniques des Affaires,56.4,Moyen,"Excellente adéquation avec la série C et bonnes notes en Mathématiques, SVT. Profil aligné avec l'objectif de Gestionnaire de Contrats."
STD_2026_0014,Hasina Rabenjamina,19,F,D,"SVT:16.42; Sciences Physiques, Chimiques et Technologie (SPCT):13.64; Mathématiques:15.95; Français:15.87; Philosophie:13.3; Malagasy:8.21; Histoire-Géographie:14.24; Anglais:11.97; EPS:11.33",14.21,SVT; Mathématiques,EPS; Malagasy,Musique; Programmation & Code,Étude d'impact économique; Analyse financière; Résolution de problèmes,Entreprise industrielle,Scrum Master,EMP; DTJA; FIC,EMP,Techniques des Affaires,86.66,Élevé,"Excellente adéquation avec la série D et bonnes notes en SVT, Mathématiques. Profil aligné avec l'objectif de Scrum Master."
STD_2026_0015,Mialy Razafindrakoto,16,F,S,Mathématiques:13.49; Sciences Physiques et Chimiques:16.83; SVT / Biologie-Géologie:17.1; Français:13.82; Philosophie:12.26; Malagasy:12.03; Histoire-Géographie:13.66; Anglais:11.67; EPS:9.07,14.19,SVT / Biologie-Géologie; Sciences Physiques et Chimiques,Anglais; EPS,Nature & Écologie; Robotique,Gestion de trésorerie; Comptabilité générale & analytique; Résolution de problèmes,Bureau & Télétravail,Comptable Senior,FIC; ICMP; EMII,FIC,Techniques des Affaires,81.04,Élevé,"Excellente adéquation avec la série S et bonnes notes en SVT / Biologie-Géologie, Sciences Physiques et Chimiques. Profil aligné avec l'objectif de Comptable Senior."
STD_2026_0016,Hery Andriantsitohaina,16,M,G,Mathématiques de gestion:7.64; Gestion / Comptabilité:18.45; Français:10.09; Anglais:13.53; Économie:14.18; Histoire-Géographie:13.05; Philosophie:10.9; EPS:7.56,12.52,Gestion / Comptabilité; Économie,Mathématiques de gestion; EPS,Lecture & Écriture; Robotique,Analyse des sols; Gestion d'exploitation; Résolution de problèmes,Entreprise industrielle,Agronome,AEE; DTJA; TEE,AEE,Biotechnologie et Agronomie,44.17,Faible,"Excellente adéquation avec la série G et bonnes notes en Gestion / Comptabilité, Économie. Profil aligné avec l'objectif de Agronome."
STD_2026_0017,Rova Rajaonarivelo,20,F,Technique,Mathématiques appliquées:10.94; Physique appliquée / Technologie:16.02; Dessin technique:9.66; Français:10.29; Anglais:11.67; Philosophie:17.34; EPS:11.01,12.42,Philosophie; Physique appliquée / Technologie,Français; Dessin technique,Musique; Jeux de Stratégie,Process agroalimentaires; Biochimie alimentaire; Résolution de problèmes,Laboratoire & R&D,Biologiste industriel,IAA; EMP; ESIIA,IAA,Biotechnologie et Agronomie,76.13,Élevé,"Excellente adéquation avec la série Technique et bonnes notes en Philosophie, Physique appliquée / Technologie. Profil aligné avec l'objectif de Biologiste industriel."
STD_2026_0018,Mirana Rakotomalala,18,M,A,Philosophie:12.96; Français:15.56; Malagasy:10.27; Histoire-Géographie:9.44; Anglais:9.33; LV2:13.74; Mathématiques:12.16; SVT / Sciences humaines:9.43; EPS:9.86,11.79,Français; LV2,SVT / Sciences humaines; Anglais,Nature & Écologie; Volontariat,Pharmacologie; Chimie organique; Résolution de problèmes,Laboratoire & R&D,Responsable contrôle qualité labo,PIP; ESIIA; IAA,PIP,Biotechnologie et Agronomie,53.51,Faible,"Excellente adéquation avec la série A et bonnes notes en Français, LV2. Profil aligné avec l'objectif de Responsable contrôle qualité labo."
STD_2026_0019,Sitraka Ramanantsoa,17,F,A1,Philosophie:14.81; Français:14.74; Malagasy:10.89; Histoire-Géographie:14.29; Anglais:8.0; LV2:19.96; Mathématiques:8.92; SVT / Sciences humaines:14.47; EPS:12.19,13.45,LV2; Philosophie,Mathématiques; Anglais,Musique; Robotique,Automatisme PLC; CAO Mécanique; Résolution de problèmes,Laboratoire & R&D,Automaticien,EMII; DTJA; TEE,EMII,Génie Industriel et Génie Civil,42.1,Faible,"Excellente adéquation avec la série A1 et bonnes notes en LV2, Philosophie. Profil aligné avec l'objectif de Automaticien."
STD_2026_0020,Mirana Rasoanaivo,17,F,A2,Philosophie:13.72; Français:13.26; Malagasy:11.95; Histoire-Géographie:12.38; Anglais:14.24; LV2:14.55; Mathématiques:7.28; SVT / Sciences humaines:8.35; EPS:11.95,12.58,LV2; Anglais,SVT / Sciences humaines; Mathématiques,Musique; Robotique,AutoCAD/Revit; Conduite de chantier BTP; Résolution de problèmes,Laboratoire & R&D,Architecte collaborateur,GCA; IGGLIA; IAA,GCA,Génie Industriel et Génie Civil,50.16,Faible,"Excellente adéquation avec la série A2 et bonnes notes en LV2, Anglais. Profil aligné avec l'objectif de Architecte collaborateur."
STD_2026_0021,Vero Ramanantsoa,19,F,L,Philosophie:14.04; Français et Littérature:14.15; Anglais:11.99; LV2:18.21; Malagasy:13.63; Histoire-Géographie:8.94; Éducation civique:15.72; Mathématiques:9.55; Arts / options culturelles:15.92; EPS:8.55,13.4,LV2; Arts / options culturelles,Histoire-Géographie; EPS,Sport d'équipe; Musique,Normes QHSE; Génie des procédés; Résolution de problèmes,Espaces de Coworking / Startup,Responsable d'extraction,ICMP; TEH; EMP,ICMP,Génie Industriel et Génie Civil,44.8,Faible,"Excellente adéquation avec la série L et bonnes notes en LV2, Arts / options culturelles. Profil aligné avec l'objectif de Responsable d'extraction."
STD_2026_0022,Sitraka Rabenjamina,16,F,C,"Mathématiques:17.2; Sciences Physiques, Chimiques et Technologie (SPCT):13.62; Français:12.34; Philosophie:8.79; Malagasy:14.71; Histoire-Géographie:8.52; Anglais:8.51; SVT:15.91; EPS:14.52",13.69,Mathématiques; SVT,Histoire-Géographie; Anglais,Musique; Robotique,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Bureau & Télétravail,Concepteur Électronique,ESIIA; CAA; PIP,ESIIA,Informatique et Télécommunication,82.22,Élevé,"Excellente adéquation avec la série C et bonnes notes en Mathématiques, SVT. Profil aligné avec l'objectif de Concepteur Électronique."
STD_2026_0023,Mirana Rabenjamina,20,M,D,"SVT:14.22; Sciences Physiques, Chimiques et Technologie (SPCT):16.32; Mathématiques:11.98; Français:12.14; Philosophie:8.99; Malagasy:14.23; Histoire-Géographie:10.31; Anglais:12.37; EPS:9.66",12.91,"Sciences Physiques, Chimiques et Technologie (SPCT); Malagasy",EPS; Philosophie,Musique; Dessin & Design,Machine Learning; SQL & Bases de données; Résolution de problèmes,Espaces de Coworking / Startup,Data Scientist / IA,IGGLIA; ICMP; FIC,IGGLIA,Informatique et Télécommunication,75.29,Élevé,"Excellente adéquation avec la série D et bonnes notes en Sciences Physiques, Chimiques et Technologie (SPCT), Malagasy. Profil aligné avec l'objectif de Data Scientist / IA."
STD_2026_0024,Soa Ramanantsoa,16,M,S,Mathématiques:15.15; Sciences Physiques et Chimiques:11.66; SVT / Biologie-Géologie:14.95; Français:14.98; Philosophie:7.78; Malagasy:8.66; Histoire-Géographie:12.62; Anglais:7.64; EPS:12.57,12.72,Mathématiques; Français,Philosophie; Anglais,Dessin & Design; Robotique,Réseaux informatiques; Développement Web/Mobile; Résolution de problèmes,Sur le terrain / Chantier,Administrateur Réseaux & TIC,IMTICIA; TEE; CAA,IMTICIA,Informatique et Télécommunication,74.08,Moyen,"Excellente adéquation avec la série S et bonnes notes en Mathématiques, Français. Profil aligné avec l'objectif de Administrateur Réseaux & TIC."
STD_2026_0025,Soa Rakotondrabe,16,F,G,Mathématiques de gestion:15.55; Gestion / Comptabilité:16.56; Français:13.32; Anglais:13.68; Économie:15.9; Histoire-Géographie:13.71; Philosophie:12.31; EPS:9.8,14.49,Gestion / Comptabilité; Économie,Philosophie; EPS,Jeux de Stratégie; Dessin & Design,Python / R Data; Statistiques inférentielles; Résolution de problèmes,Laboratoire & R&D,Data Analyst,ISAIA; TEE; EMP,ISAIA,Informatique et Télécommunication,83.5,Élevé,"Excellente adéquation avec la série G et bonnes notes en Gestion / Comptabilité, Économie. Profil aligné avec l'objectif de Data Analyst."
STD_2026_0026,Vero Randriamampianina,19,F,Technique,Mathématiques appliquées:16.27; Physique appliquée / Technologie:17.34; Dessin technique:9.67; Français:11.69; Anglais:8.56; Philosophie:10.07; EPS:13.59,13.4,Physique appliquée / Technologie; Mathématiques appliquées,Dessin technique; Anglais,Jeux de Stratégie; Nature & Écologie,Ingénierie touristique; Gestion de projets durables; Résolution de problèmes,Laboratoire & R&D,Consultant Écotourisme,TEE; FIC; ISAIA,TEE,Techniques du Tourisme,46.26,Faible,"Excellente adéquation avec la série Technique et bonnes notes en Physique appliquée / Technologie, Mathématiques appliquées. Profil aligné avec l'objectif de Consultant Écotourisme."
STD_2026_0027,Nary Ratsimbazafy,18,F,A,Philosophie:14.48; Français:12.95; Malagasy:13.6; Histoire-Géographie:13.8; Anglais:14.53; LV2:13.95; Mathématiques:13.03; SVT / Sciences humaines:7.06; EPS:11.3,13.17,Anglais; Philosophie,EPS; SVT / Sciences humaines,Musique; Nature & Écologie,Communication interculturelle; Management hôtelier; Résolution de problèmes,Entreprise industrielle,Directeur de l'Hébergement,TEH; IAA; PIP,TEH,Techniques du Tourisme,87.02,Élevé,"Excellente adéquation avec la série A et bonnes notes en Anglais, Philosophie. Profil aligné avec l'objectif de Directeur de l'Hébergement."
STD_2026_0028,Mirana Ratsimbazafy,17,M,A1,Philosophie:12.66; Français:12.4; Malagasy:10.41; Histoire-Géographie:8.05; Anglais:12.07; LV2:15.01; Mathématiques:17.07; SVT / Sciences humaines:11.42; EPS:12.86,12.1,Mathématiques; LV2,Malagasy; Histoire-Géographie,Sport d'équipe; Dessin & Design,Analyse Marché; Techniques de Vente; Résolution de problèmes,Entreprise industrielle,Directeur des Ventes,CAA; TEE; TEH,CAA,Techniques des Affaires,83.0,Élevé,"Excellente adéquation avec la série A1 et bonnes notes en Mathématiques, LV2. Profil aligné avec l'objectif de Directeur des Ventes."
STD_2026_0029,Nary Andriantsitohaina,18,M,A2,Philosophie:13.2; Français:15.47; Malagasy:14.99; Histoire-Géographie:14.87; Anglais:7.96; LV2:15.53; Mathématiques:6.88; SVT / Sciences humaines:6.88; EPS:15.86,13.0,EPS; LV2,Mathématiques; SVT / Sciences humaines,Lecture & Écriture; Dessin & Design,Droit des contrats; Rédaction juridique; Résolution de problèmes,Laboratoire & R&D,Consultant Fiscaliste,DTJA; ISAIA; EMII,DTJA,Techniques des Affaires,79.33,Élevé,"Excellente adéquation avec la série A2 et bonnes notes en EPS, LV2. Profil aligné avec l'objectif de Consultant Fiscaliste."
STD_2026_0030,Vero Rajaonarivelo,19,M,L,Philosophie:14.42; Français et Littérature:11.66; Anglais:12.03; LV2:11.55; Malagasy:13.79; Histoire-Géographie:13.37; Éducation civique:12.2; Mathématiques:8.75; Arts / options culturelles:15.54; EPS:6.59,12.26,Arts / options culturelles; Philosophie,Mathématiques; EPS,Programmation & Code; Volontariat,Gestion des risques; Analyse financière; Résolution de problèmes,Bureau & Télétravail,Scrum Master,EMP; TEE; IAA,EMP,Techniques des Affaires,45.15,Faible,"Excellente adéquation avec la série L et bonnes notes en Arts / options culturelles, Philosophie. Profil aligné avec l'objectif de Scrum Master."
STD_2026_0031,Kanto Rakotomalala,20,M,C,"Mathématiques:11.27; Sciences Physiques, Chimiques et Technologie (SPCT):10.26; Français:13.73; Philosophie:7.48; Malagasy:13.92; Histoire-Géographie:8.25; Anglais:13.9; SVT:14.17; EPS:13.5",11.66,SVT; Malagasy,Histoire-Géographie; Philosophie,Musique; Robotique,Comptabilité générale & analytique; Gestion de trésorerie; Résolution de problèmes,Entreprise industrielle,Comptable Senior,FIC; ESIIA; IAA,FIC,Techniques des Affaires,77.27,Élevé,"Excellente adéquation avec la série C et bonnes notes en SVT, Malagasy. Profil aligné avec l'objectif de Comptable Senior."
STD_2026_0032,Sitraka Andriantsitohaina,16,F,D,"SVT:17.37; Sciences Physiques, Chimiques et Technologie (SPCT):16.35; Mathématiques:11.52; Français:11.76; Philosophie:8.24; Malagasy:13.2; Histoire-Géographie:6.98; Anglais:16.06; EPS:10.76",13.43,"SVT; Sciences Physiques, Chimiques et Technologie (SPCT)",Philosophie; Histoire-Géographie,Programmation & Code; Nature & Écologie,Agronomie; Gestion d'exploitation; Résolution de problèmes,Sur le terrain / Chantier,Chef d'exploitation,AEE; CAA; DTJA,AEE,Biotechnologie et Agronomie,80.58,Élevé,"Excellente adéquation avec la série D et bonnes notes en SVT, Sciences Physiques, Chimiques et Technologie (SPCT). Profil aligné avec l'objectif de Chef d'exploitation."
STD_2026_0033,Sitraka Razafindrakoto,16,M,S,Mathématiques:15.07; Sciences Physiques et Chimiques:16.91; SVT / Biologie-Géologie:17.9; Français:10.58; Philosophie:9.73; Malagasy:9.99; Histoire-Géographie:9.05; Anglais:9.63; EPS:12.21,13.85,SVT / Biologie-Géologie; Sciences Physiques et Chimiques,Anglais; Histoire-Géographie,Jeux de Stratégie; Robotique,Process agroalimentaires; Microbiologie; Résolution de problèmes,Laboratoire & R&D,Biologiste industriel,IAA; ISAIA; TEH,IAA,Biotechnologie et Agronomie,82.1,Élevé,"Excellente adéquation avec la série S et bonnes notes en SVT / Biologie-Géologie, Sciences Physiques et Chimiques. Profil aligné avec l'objectif de Biologiste industriel."
STD_2026_0034,Dina Rajaonarivelo,16,F,G,Mathématiques de gestion:9.58; Gestion / Comptabilité:15.97; Français:10.94; Anglais:17.1; Économie:16.16; Histoire-Géographie:13.62; Philosophie:9.01; EPS:7.98,13.16,Anglais; Économie,Philosophie; EPS,Jeux de Stratégie; Nature & Écologie,Chimie organique; Pharmacologie; Résolution de problèmes,Sur le terrain / Chantier,Technicien supérieur en pharmacologie,PIP; ESIIA; EMII,PIP,Biotechnologie et Agronomie,51.52,Faible,"Excellente adéquation avec la série G et bonnes notes en Anglais, Économie. Profil aligné avec l'objectif de Technicien supérieur en pharmacologie."
STD_2026_0035,Nomena Rakotomalala,21,M,Technique,Mathématiques appliquées:15.62; Physique appliquée / Technologie:16.4; Dessin technique:12.6; Français:14.71; Anglais:11.73; Philosophie:7.86; EPS:13.4,14.01,Physique appliquée / Technologie; Mathématiques appliquées,Anglais; Philosophie,Musique; Volontariat,CAO Mécanique; Maintenance industrielle; Résolution de problèmes,Espaces de Coworking / Startup,Responsable Maintenance,EMII; EMP; TEH,EMII,Génie Industriel et Génie Civil,88.38,Élevé,"Excellente adéquation avec la série Technique et bonnes notes en Physique appliquée / Technologie, Mathématiques appliquées. Profil aligné avec l'objectif de Responsable Maintenance."
STD_2026_0036,Lova Rabenjamina,20,M,A,Philosophie:10.17; Français:15.91; Malagasy:10.23; Histoire-Géographie:9.7; Anglais:10.09; LV2:14.72; Mathématiques:10.08; SVT / Sciences humaines:9.94; EPS:13.35,11.71,Français; LV2,SVT / Sciences humaines; Histoire-Géographie,Robotique; Sport d'équipe,AutoCAD/Revit; Calcul de structures; Résolution de problèmes,Entreprise industrielle,Architecte collaborateur,GCA; CAA; IMTICIA,GCA,Génie Industriel et Génie Civil,44.04,Faible,"Excellente adéquation avec la série A et bonnes notes en Français, LV2. Profil aligné avec l'objectif de Architecte collaborateur."
STD_2026_0037,Andry Andriantsitohaina,17,F,A1,Philosophie:17.72; Français:16.31; Malagasy:13.37; Histoire-Géographie:10.42; Anglais:9.45; LV2:11.44; Mathématiques:11.71; SVT / Sciences humaines:12.35; EPS:14.26,13.49,Philosophie; Français,Histoire-Géographie; Anglais,Économie & Bourse; Dessin & Design,Génie des procédés; Normes QHSE; Résolution de problèmes,Sur le terrain / Chantier,Responsable d'extraction,ICMP; ISAIA; ESIIA,ICMP,Génie Industriel et Génie Civil,54.04,Faible,"Excellente adéquation avec la série A1 et bonnes notes en Philosophie, Français. Profil aligné avec l'objectif de Responsable d'extraction."
STD_2026_0038,Vero Rasoanaivo,19,M,A2,Philosophie:16.97; Français:18.52; Malagasy:12.1; Histoire-Géographie:6.99; Anglais:12.86; LV2:16.81; Mathématiques:5.82; SVT / Sciences humaines:11.5; EPS:11.71,13.45,Français; Philosophie,Histoire-Géographie; Mathématiques,Nature & Écologie; Musique,Microcontrôleurs IoT; Électronique numérique; Résolution de problèmes,Sur le terrain / Chantier,Concepteur Électronique,ESIIA; GCA; DTJA,ESIIA,Informatique et Télécommunication,47.26,Faible,"Excellente adéquation avec la série A2 et bonnes notes en Français, Philosophie. Profil aligné avec l'objectif de Concepteur Électronique."
STD_2026_0039,Andry Andriantsitohaina,20,M,L,Philosophie:13.57; Français et Littérature:18.64; Anglais:10.73; LV2:19.87; Malagasy:13.11; Histoire-Géographie:13.64; Éducation civique:13.17; Mathématiques:8.41; Arts / options culturelles:12.29; EPS:12.2,14.24,LV2; Français et Littérature,Anglais; Mathématiques,Sport d'équipe; Économie & Bourse,Génie Logiciel & Java/Web; Machine Learning; Résolution de problèmes,Bureau & Télétravail,Développeur Fullstack,IGGLIA; ICMP; EMII,IGGLIA,Informatique et Télécommunication,54.76,Faible,"Excellente adéquation avec la série L et bonnes notes en LV2, Français et Littérature. Profil aligné avec l'objectif de Développeur Fullstack."
STD_2026_0040,Andry Rakotondrabe,20,F,C,"Mathématiques:14.28; Sciences Physiques, Chimiques et Technologie (SPCT):16.58; Français:12.83; Philosophie:11.25; Malagasy:12.24; Histoire-Géographie:7.61; Anglais:13.64; SVT:13.83; EPS:11.82",13.54,"Sciences Physiques, Chimiques et Technologie (SPCT); Mathématiques",Philosophie; Histoire-Géographie,Programmation & Code; Sport d'équipe,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,Sur le terrain / Chantier,Designer UI/UX,IMTICIA; GCA; ESIIA,IMTICIA,Informatique et Télécommunication,84.1,Élevé,"Excellente adéquation avec la série C et bonnes notes en Sciences Physiques, Chimiques et Technologie (SPCT), Mathématiques. Profil aligné avec l'objectif de Designer UI/UX."
STD_2026_0041,Lova Razafindrakoto,16,F,D,"SVT:15.45; Sciences Physiques, Chimiques et Technologie (SPCT):15.2; Mathématiques:17.15; Français:14.13; Philosophie:13.5; Malagasy:11.56; Histoire-Géographie:10.16; Anglais:10.14; EPS:13.32",14.28,Mathématiques; SVT,Histoire-Géographie; Anglais,Musique; Volontariat,Python / R Data; Statistiques inférentielles; Résolution de problèmes,Sur le terrain / Chantier,Data Analyst,ISAIA; CAA; DTJA,ISAIA,Informatique et Télécommunication,77.89,Élevé,"Excellente adéquation avec la série D et bonnes notes en Mathématiques, SVT. Profil aligné avec l'objectif de Data Analyst."
